feature,opt_speed_kp,opt_speed_ki,opt_speed_kd
mass,0.02956136,0.028435366,0.023935298
max_acceleration,0.08383411,0.07892158,0.10929022
yaw_inertia,0.023042863,0.049259067,0.029206064
length,0.04897587,0.05690028,0.036661386
max_steering_stiffness_front,0.030985622,0.03800776,0.031859603
max_steering_stiffness_rear,0.038468804,0.049096856,0.022753043
tyre_friction,0.17755175,0.07707206,0.22498748
cd,0.03215635,0.03095047,0.038434774
cross_sectional_area,0.03893761,0.045183685,0.025105441
aero_drag_proxy,0.021927845,0.03059685,0.02164744
steer_balance,0.06950192,0.05159931,0.039884727
lateral_grip_front,0.09567006,0.15924631,0.032908853
lateral_grip_rear,0.050582178,0.059701864,0.090963155
accel_per_mass,0.064381644,0.038234275,0.064341255
yaw_factor,0.03838832,0.049754977,0.020842994
stiffness_per_mass,0.057768207,0.05317839,0.05473619
grip_force,0.06643227,0.05999097,0.0985289
drag_to_mass,0.0318332,0.04386993,0.033913184
