feature,opt_steer_kp,opt_steer_ki,opt_steer_kd
mass,0.014506596,0.029842718,0.02858454
max_acceleration,0.08398659,0.11429934,0.32537732
yaw_inertia,0.044849664,0.08036649,0.020691698
length,0.25140858,0.2439706,0.036277566
max_steering_stiffness_front,0.039010983,0.008775115,0.036930695
max_steering_stiffness_rear,0.015396554,0.015581938,0.013835808
tyre_friction,0.010141836,0.015386964,0.07164883
cd,0.0066621113,0.045226023,0.021093383
cross_sectional_area,0.022596037,0.026146742,0.0144056175
aero_drag_proxy,0.015615446,0.020030918,0.04369473
steer_balance,0.032554895,0.0531759,0.025355158
lateral_grip_front,0.010842369,0.010439747,0.026118353
lateral_grip_rear,0.019054914,0.0054835407,0.07334343
accel_per_mass,0.16532353,0.051926233,0.0912383
yaw_factor,0.21112925,0.19044186,0.062696345
stiffness_per_mass,0.021179633,0.034174543,0.03256224
grip_force,0.013063722,0.0071304156,0.05000782
drag_to_mass,0.022677252,0.047600925,0.026138168
